COUNTRY,REGION,CONFEDERATION,TIER,TOTAL_REVENUE,TOTAL_PROFIT,AVG_ROAS,AVG_CONVERSION_RATE,AVG_OPPORTUNITY_SCORE
Mexico,North America,CONCACAF,High,56440773.4218750023350,21747097.62584999945787,0.2639076084511581,0.1299905124616736,0.2503105288893300
New Zealand,Oceania,OFC,Medium,34270326.9135000014317,13773161.82970499970114,0.0915737330566851,0.1746984001743044,0.2432024089952417
England,Europe,UEFA,High,45152618.7375000019638,18122581.35487499988525,0.1332294876232753,0.1402198331303247,0.2349474850038887
Canada,North America,CONCACAF,High,51371242.8750000002301,20877213.72081599903720,0.1232573368133712,0.1257652755892563,0.2313815286299348
Brazil,South America,CONMEBOL,High,48083483.3310000037163,18847484.60907000050998,0.0606245216958186,0.1280480881309150,0.2229352318631293
Belgium,Europe,UEFA,High,40686024.3570000061954,15947871.59229000111459,0.0859547502206628,0.1350148853494125,0.2214842113135902
Argentina,South America,CONMEBOL,High,45152618.7375000019638,18122581.35487499988525,0.0457937263489710,0.1261118100733241,0.2182257095263877
DR Congo,Africa,CAF,Low,29589835.8960000022889,11598452.06712000044468,0.0670165846375890,0.1492169017563577,0.2173378437158732
France,Europe,UEFA,High,45092535.4125000018819,18122581.35487499988525,0.0821453790619748,0.1196639137682760,0.2167766293607596
Sweden,Europe,UEFA,Medium,35160761.7900000011947,14498065.08390000001644,0.0355585286576269,0.1417111046719574,0.2167752858672028
